e.emp_id,e.name,e.age,e.job_role,e.salary,e.project,e.join_date,e.department
702,Raymond Williams,25,Manager,118891.3,Beta,2010-10-01,Marketing
718,Daniel Pierce,51,Engineer,132373.59,Alpha,2008-05-15,Marketing
720,Joseph Bryant,36,Engineer,131195.16,Alpha,1988-08-15,Marketing
729,Wesley Sanders,28,Manager,141887.01,Beta,2005-09-13,Marketing
730,Ashley Nash,23,Engineer,112090.94,Omega,2007-12-10,Marketing
734,David Shaw,26,Analyst,94232.81,Project4,1985-10-27,Marketing
738,Jennifer Richards,47,Engineer,92628.07,Project1,1993-03-06,Marketing
745,Tonya Charles,57,Engineer,111112.47,Project4,1970-05-31,Marketing
750,Michaela Davila,24,Developer,100181.92,Beta,2017-01-10,Marketing
757,Adam Mccann,57,Manager,100481.28,Beta,1986-07-31,Marketing
760,Melvin Smith,23,Developer,105371.48,Project6,1976-09-14,Marketing
765,Joseph Mann,34,Analyst,117967.12,Omega,1983-07-01,Marketing
767,Paul Hunter,35,Consultant,119104.04,Gamma,1994-07-02,Marketing
782,Alexis Gray,37,Analyst,92784.6,Delta,2006-01-01,Marketing
786,Joel White,31,Engineer,124714.99,Project3,1970-04-10,Marketing
791,Alexandra Johnson PhD,59,Analyst,136648.26,Project2,2005-12-10,Marketing
795,Bill Allen,43,Manager,114285.18,Project6,2021-04-24,Marketing
825,Dr. Morgan Austin,23,Engineer,130242.69,Project2,1983-11-14,Marketing
831,Brittany Lynch,58,Consultant,107489.1,Gamma,2009-01-29,Marketing
837,Joel Long,58,Analyst,96179.58,Delta,2015-03-19,Marketing
842,Ronald Mendez,30,Developer,122760.21,Gamma,1997-04-13,Marketing
851,Frances Hernandez,27,Developer,113583.46,Project4,2015-01-04,Marketing
856,Erica Williams,38,Consultant,98282.11,Alpha,1992-10-08,Marketing
902,Michelle Lynch,43,Developer,94909.13,Alpha,2023-06-05,Marketing
908,Danielle Waters,22,Analyst,120705.45,Alpha,1999-03-31,Marketing
913,Christian Robinson,47,Analyst,101713.94,Delta,1980-08-23,Marketing
926,Michael Tran,46,Engineer,124809.56,Project5,2008-11-11,Marketing
936,Michael Baker,40,Developer,138772.55,Beta,2009-10-23,Marketing
945,Donald Hansen,52,Consultant,137769.82,Gamma,2008-03-01,Marketing
952,Anthony Richardson,47,Engineer,101398.33,Project1,1976-12-15,Marketing
973,Jacqueline Wilkins,36,Developer,120896.42,Delta,1970-12-31,Marketing
978,Jill Lopez,58,Engineer,145958.35,Project1,1985-01-02,Marketing
988,Louis Hale,60,Developer,110525.99,Project2,1978-11-11,Marketing
992,Robert Lewis,45,Engineer,140301.65,Project5,1977-03-03,Marketing
996,Mary Combs,39,Analyst,135526.27,Alpha,1983-02-19,Marketing
12,Lori Martinez,44,Analyst,133800.67,Delta,1975-07-03,Operations
32,Caleb Davis,26,Consultant,123357.5,Delta,1976-09-14,Operations
34,Heather Bradley,25,Developer,134902.08,Project4,1998-11-18,Operations
44,Derek Scott,30,Manager,104523.46,Project1,2017-12-06,Operations
46,Kelly Miller,56,Consultant,121142.92,Delta,2018-05-26,Operations
51,Ms. Susan Gibson,40,Engineer,99308.87,Project3,2001-09-25,Operations
54,William Davidson,57,Developer,133562.82,Project1,1983-02-05,Operations
66,Nancy Woods,37,Analyst,132457.0,Project5,2010-03-13,Operations
72,Chad Holmes,49,Manager,102727.87,Gamma,2019-01-06,Operations
91,Heather Chandler,43,Engineer,143008.72,Project2,2013-04-10,Operations
98,Jason Monroe,56,Consultant,119026.62,Project3,1992-08-28,Operations
117,Lisa Wallace,33,Developer,148365.41,Project1,1972-10-19,Operations
134,Matthew Harrison,50,Analyst,138344.32,Delta,1999-04-08,Operations
144,Shawn Edwards,25,Manager,112825.07,Gamma,1989-07-02,Operations
149,Elizabeth Dixon,51,Manager,105157.94,Project6,1983-06-22,Operations
153,Joseph Smith,48,Analyst,115681.21,Omega,1982-07-20,Operations
154,Richard Combs,58,Consultant,136939.11,Project1,1989-12-24,Operations
159,Frank Hudson,39,Manager,97538.73,Project2,1986-05-04,Operations
170,Mary Smith,23,Consultant,126270.5,Beta,1977-07-23,Operations
188,Robert Ryan MD,31,Consultant,111905.37,Beta,1975-04-29,Operations
192,Danielle White,56,Consultant,140585.04,Project5,2023-09-02,Operations
195,Alicia Powell,24,Analyst,126177.37,Project5,1997-04-17,Operations
224,Grace Hill,31,Consultant,123414.19,Beta,1999-07-07,Operations
233,David Glenn,58,Developer,129708.11,Project6,1971-12-22,Operations
234,Amy Taylor,36,Engineer,108690.03,Project3,1976-09-17,Operations
236,Terry Hayes,23,Developer,119714.64,Project3,1983-04-10,Operations
237,Melissa Perry,46,Manager,105175.33,Project4,1984-02-02,Operations
243,Patrick Ray,53,Engineer,109524.04,Omega,1984-10-25,Operations
244,Timothy Rivera,43,Manager,140204.05,Omega,1972-05-29,Operations
248,Omar Sosa,52,Analyst,124463.17,Project3,2017-03-04,Operations
260,Allen Blanchard,60,Manager,110114.93,Beta,1975-11-13,Operations
262,Mrs. Leslie Neal MD,41,Analyst,101666.08,Project4,2004-08-21,Operations
283,Candace Snyder,42,Engineer,118117.15,Project5,2011-03-17,Operations
304,Allison Torres DDS,45,Developer,131655.4,Project3,1971-12-28,Operations
313,Brett Mccoy,35,Engineer,146944.9,Delta,1990-09-10,Operations
316,Diana Torres,37,Developer,137240.97,Project5,2019-09-06,Operations
329,Rachael Rodriguez,31,Engineer,142152.74,Delta,1981-11-25,Operations
345,Thomas Sanchez,60,Developer,113934.15,Alpha,1973-10-05,Operations
352,Lee Rosario,36,Manager,134499.34,Project4,1975-12-15,Operations
366,Charles Berry,48,Manager,129224.49,Project3,2004-07-15,Operations
370,Colleen James,57,Consultant,126638.98,Gamma,1990-05-23,Operations
377,Robin Brady,27,Consultant,113354.73,Project1,2018-01-08,Operations
396,Cynthia Scott,50,Manager,111232.17,Omega,1983-06-18,Operations
404,Gary Hanson,28,Developer,107285.54,Project5,2021-07-28,Operations
406,Lori Torres,46,Engineer,136386.37,Project3,2012-01-26,Operations
420,Vanessa Vasquez,58,Developer,149392.46,Alpha,1973-02-07,Operations
422,Nancy Hall,42,Consultant,129213.47,Project5,2002-05-10,Operations
475,Dylan Franco,23,Engineer,132695.1,Delta,2019-07-20,Operations
487,Christopher Bartlett,32,Developer,104290.38,Beta,2012-01-22,Operations
492,Angela Reed,23,Analyst,131127.47,Beta,1976-08-17,Operations
501,Lauren Gonzalez,38,Engineer,136364.14,Project6,1970-03-26,Operations
505,Crystal Fleming,27,Consultant,122248.21,Project2,1974-01-03,Operations
528,Brandon Bradley,51,Consultant,97647.88,Project3,1988-07-06,Operations
532,Tiffany Carter,53,Developer,135472.77,Project5,2003-09-22,Operations
542,Jenny Miller,41,Developer,148813.68,Project4,1979-05-25,Operations
547,Roger Small,49,Engineer,132303.6,Gamma,2019-11-20,Operations
548,Nicole Shelton,34,Consultant,135682.63,Project2,1972-03-31,Operations
559,Lisa Benson,60,Engineer,147488.61,Project1,1993-11-04,Operations
570,Alejandro Beck,28,Analyst,133644.03,Delta,2016-07-21,Operations
584,Jason Carter,44,Analyst,106273.75,Project1,2005-05-16,Operations
593,Michael Oneill,59,Engineer,107995.04,Omega,1979-04-13,Operations
615,Steven Sherman,34,Manager,131311.71,Project4,1970-10-25,Operations
637,Fred Bell,44,Engineer,140779.09,Project2,1981-08-19,Operations
650,Matthew Eaton,40,Developer,143680.07,Project1,2018-08-19,Operations
653,Christina Smith,46,Consultant,115434.32,Project1,1979-03-21,Operations
665,Margaret Frye,44,Manager,133133.39,Project5,1993-10-12,Operations
671,Cynthia Turner,47,Analyst,103892.55,Beta,2019-07-19,Operations
673,David Gates,60,Engineer,122164.05,Project6,2000-12-10,Operations
679,Summer Robinson,46,Engineer,146995.43,Project3,1993-12-30,Operations
704,Diane Barnett,29,Engineer,145201.32,Delta,2023-03-28,Operations
705,Brent Flores,44,Manager,119092.71,Project2,1998-06-22,Operations
707,Lori Wilson,55,Analyst,111056.52,Project5,1977-05-16,Operations
710,Nicole Waters,44,Analyst,104077.35,Gamma,2019-11-03,Operations
715,Sarah Pena,24,Consultant,111423.93,Alpha,2021-11-22,Operations
724,Kelly Bradford,60,Consultant,149587.7,Delta,1972-02-16,Operations
731,Megan Benjamin DDS,51,Engineer,128494.9,Gamma,1998-11-23,Operations
755,Timothy Tran,30,Engineer,124229.72,Project1,1973-01-21,Operations
784,Cynthia Flowers,41,Engineer,121450.84,Gamma,2011-09-28,Operations
788,Steven Yoder,52,Manager,129934.3,Project6,1991-09-08,Operations
796,Mikayla Thomas,28,Engineer,145534.13,Alpha,1987-12-08,Operations
803,Aaron Young,51,Developer,112887.72,Project1,1977-07-30,Operations
805,Vanessa Costa,55,Consultant,147532.82,Project3,1995-08-18,Operations
809,Jacob Sullivan,55,Developer,143020.35,Beta,1994-10-21,Operations
824,Nicole Henderson,41,Analyst,122467.96,Project5,2011-03-31,Operations
832,Jason Camacho,47,Engineer,129054.71,Project3,2003-03-25,Operations
854,Nancy Clark DDS,50,Developer,127857.55,Project3,1998-09-01,Operations
891,Timothy Johnson,49,Engineer,145630.4,Project6,1991-06-21,Operations
897,Andrew Martinez,43,Developer,139788.17,Alpha,1999-06-20,Operations
918,Debra Nelson,40,Analyst,143301.23,Alpha,2001-05-20,Operations
960,Danny Cannon,26,Developer,137071.77,Project1,2014-05-02,Operations
969,Jean Atkinson MD,57,Analyst,140961.15,Delta,1987-02-26,Operations
970,John Brown,44,Analyst,97362.78,Project1,1994-01-28,Operations
972,Joy Vaughn,33,Consultant,141356.34,Project2,1980-07-07,Operations
991,Justin Perry,40,Manager,138146.26,Alpha,1989-08-12,Operations
999,David Abbott,28,Engineer,139246.03,Project4,1976-07-13,Operations
